,Company Name,Job Title,City,State,Sal_min,Sal_max,Sal_avg
5976,University of Miami,Sr. Research Analyst / Pre-award Grants,CoralGables,FL,40000.0,72000.0,56000.0
5985,University of Miami,Scientist,CoralGables,FL,77600.0,139600.0,108600.0
5996,University of Miami,Financial Analyst (Clinical Research Revenue),CoralGables,FL,38750.0,51000.0,44875.0
5998,Smith Hanley Associates,Statistical Operations Research Analyst,Miami,FL,75000.0,95000.0,85000.0
5999,University of Miami,Statistical Programmer,CoralGables,FL,32900.0,,32900.0
6006,University of Miami,(Temporary) Research Laboratory Technician,CoralGables,FL,27400.0,49400.0,38400.0
6044,Morgan Stephens,Librarian Research Analyst,Miami,FL,75000.0,85000.0,80000.0
6171,University of Miami,Assistant Scientist,CoralGables,FL,53900.0,96900.0,75400.0
6179,University of Miami,(Temporary) Research Analyst,CoralGables,FL,38750.0,62000.0,50375.0
6217,University of Miami,Assistant Scientist,CoralGables,FL,53900.0,96900.0,75400.0
6225,University of Miami,(Temporary) Research Analyst,CoralGables,FL,38750.0,62000.0,50375.0
6357,University of Miami,Assistant Scientist,CoralGables,FL,53900.0,96900.0,75400.0
6365,University of Miami,(Temporary) Research Analyst,CoralGables,FL,38750.0,62000.0,50375.0
6399,University of Miami,Assistant Scientist,CoralGables,FL,53900.0,96900.0,75400.0
6407,University of Miami,(Temporary) Research Analyst,CoralGables,FL,38750.0,62000.0,50375.0
6653,Scienaptic Systems Inc,Data Scientist,NewYork,NY,100000.0,,100000.0
6666,Wade & Wendy,Wade & Wendy_Data Scientist/Engineer,NewYork,NY,80000.0,120000.0,100000.0
6677,Oliver James Associates,"Program Manager - Data Science - New York City - $165,000",NewYork,NY,165000.0,,165000.0
6698,Beeswax,Senior / Director Data Science,NewYork,NY,130000.0,165000.0,147500.0
6700,Harris Allied,Quantitative Research/Data Analyst,NewYork,NY,140000.0,,140000.0
6730,Harnham,Senior Data Scientist - Bio-tech,NewYork,NY,170000.0,,170000.0
6784,Harnham,Senior Data Scientist,NewYork,NY,200000.0,,200000.0
6798,Averity,Senior Data Scientist,NewYork,NY,125000.0,175000.0,150000.0
6799,CONSUMER AFFAIRS,"Modeler/Data Scientist, Policy and Strategy",Manhattan,NY,59708.0,72246.0,65977.0
6805,Selby Jennings,Quantitative Researcher – Machine Learning,NewYork,NY,200000.0,250000.0,225000.0
6819,HRA/DEPT OF SOCIAL SERVICES,SENIOR RESEARCH ASSOCIATE,Manhattan,NY,78630.0,90000.0,84315.0
6831,NYC Department of Buildings,"Research Analyst, Risk",Manhattan,NY,63817.0,74000.0,68908.5
6835,DEPARTMENT OF TRANSPORTATION,Bike Share Data Scientist,Manhattan,NY,60189.0,83440.0,71814.5
6863,Scienaptic Systems Inc,Data Scientist,NewYork,NY,100000.0,,100000.0
6878,Scienaptic Systems Inc,Data Scientist,NewYork,NY,100000.0,,100000.0
6887,HOUSING PRESERVATION & DVLPMNT,Technical Researcher,NewYork,NY,70286.0,,70286.0
6890,DEPT OF ENVIRONMENT PROTECTION,Water Quality Analyst,NewYork,NY,70286.0,88213.0,79249.5
6894,DEPT OF HEALTH/MENTAL HYGIENE,"Panel Maintenance Analyst, World Trade Center Health Registr...",Manhattan,NY,59708.0,72246.0,65977.0
6902,Averity,Senior Statistician for Fortune 500 Company,NewYork,NY,100000.0,120000.0,110000.0
6905,Averity,Lead Data Scientist,NewYork,NY,120000.0,140000.0,130000.0
6919,Averity,"Vice President, Data Scientist - Leading International Advis...",NewYork,NY,150000.0,200000.0,175000.0
6922,Pro Partners Staffing,Investment Advisory Research Analyst,NewYork,NY,90000.0,,90000.0
6932,Averity,Lead Data Scientist - Top Data Consultancy,NewYork,NY,120000.0,160000.0,140000.0
6940,Smith Hanley Associates,Director of Data Science,NewYork,NY,140000.0,160000.0,150000.0
6945,Workbridge Associates,Chief Data Scientist,NewYork,NY,110000.0,140000.0,125000.0
6950,Averity,"Data Scientist, Quant Developer for $10B Asset Manager",NewYork,NY,120000.0,150000.0,135000.0
6952,Selby Jennings,Senior Data Scientist,NewYork,NY,135000.0,200000.0,167500.0
6961,Averity,Quantitative Research Analyst for Multi-Billion Dollar Hedge...,NewYork,NY,150000.0,200000.0,175000.0
6978,Selby Jennings,Quantitative Analyst - Multiple Vacancies,NewYork,NY,120000.0,,120000.0
6992,Big Cloud,Data Scientist,NewYork,NY,150000.0,,150000.0
6996,Averity,Lead Data Scientist (New Jersey),NewYork,NY,130000.0,170000.0,150000.0
7009,DEPARTMENT OF FINANCE,Policy Data Analyst,Manhattan,NY,68239.0,80000.0,74119.5
