,Company Name,Job Title,Location,Salary
200,Blue Ridge,Senior Operations Research Analyst,"Atlanta, GA",
201,WSP | Parsons Brinckerhoff,Senior Technology Engineer,"Atlanta, GA",
202,ADP,Associate Application Developer - Global Product Technology,"Alpharetta, GA 30005",
203,Emory University,"Scientist, Med Imag Analysis","Atlanta, GA","$69,900 a year"
204,WSP | Parsons Brinckerhoff,Traffic Engineer I,"Atlanta, GA",
205,Adecco: USA,Senior Manager of Health Data Standards,"Atlanta, GA",
206,DeKalb Workforce Development,Engineering Technician,"Decatur, GA",$13 - $18 an hour
207,FraudScope,Data Scientist,"Atlanta, GA",
208,Honeywell,"Principal Data Scientist - Atlanta, GA","Atlanta, GA",
209,Predictive Science,Data Scientist,United States,
210,Cox Automotive,Data Scientist,"Atlanta, GA",
211,Home Depot,DATA SCIENTIST,"Atlanta, GA 30354",
212,MobileDev Power,Data Scientist With Predictive Modeling,"Atlanta, GA 30305",
213,Children's Healthcare of Atlanta,Medical Technologist - Part Time - Satellite Blvd.,"Duluth, GA 30096",
214,Synergy Search Group,Audit Snr (Banking) - Data Analysis 60K-80K,"Atlanta, GA","$80,000 a year"
215,Oak Ridge Associated Universities,Division of Blood Disorders Health Science Fellowship - CDC,"Atlanta, GA",
216,Georgia Tech,Financial Analyst II,"Atlanta, GA",
217,InfoMart,Online Analyst (Research),"Marietta, GA",
218,Georgia Tech Research Institute,Electrical Engineering (Entry Level) -ELSYS 1227,"Atlanta, GA 30318 (Rockdale area)",
219,Morehouse School Of Medicine,Postdoctoral Fellow,"Atlanta, GA",
220,Emory University,Director Imagining Center- Yerkes National Primate Research...,"Atlanta, GA",
221,IBM Kenexa,Lead Product Designer – Emerging Platforms,"Atlanta, GA",
222,DeKalb Workforce Development,Instrument Man,"Decatur, GA",
223,Honeywell,"Principal Data Scientist - Atlanta, GA","Atlanta, GA",
224,Predictive Science,Data Scientist,United States,
225,MobileDev Power,Data Scientist With Predictive Modeling,"Atlanta, GA 30305",
226,Cox Automotive,Data Scientist,"Atlanta, GA",
227,Home Depot,DATA SCIENTIST,"Atlanta, GA 30354",
228,Oversight Systems,Sales Account Executive,"Atlanta, GA",
229,krg technology inc,Data Scientist,"Alpharetta, GA",
230,IBM Kenexa,Sr. Product Designer - Content Team,"Atlanta, GA",
231,ADP,Sr. Front End Developer,"Atlanta, GA 30328",
232,Meridian Group,Talent Research Analyst,"Atlanta, GA",
233,Vanderlande Industries,Market Research Analyst Intern- Spring 2017,"Marietta, GA",
234,Oak Ridge Associated Universities,Rare Disorders Research Fellowship - CDC,"Atlanta, GA",
235,AT&T,AT&T Professional Data Scientist Alpharetta GA,"Alpharetta, GA",
236,Chickasaw Nation Industries,Laboratory Specialist,"Atlanta, GA 30329",
237,ADP,Lead QA Engineer,"Alpharetta, GA 30005",
238,Honeywell,"Principal Data Scientist - Atlanta, GA","Atlanta, GA",
239,Predictive Science,Data Scientist,United States,
240,Cox Automotive,Data Scientist,"Atlanta, GA",
241,Home Depot,DATA SCIENTIST,"Atlanta, GA 30354",
242,Georgia Tech,Associate Director - Construction Services (Cobb County Rese...,"Smyrna, GA",
243,Turner,Sr. Data Scientist,"Atlanta, GA 30319",
244,Oak Ridge Associated Universities,Guideline Development Fellow -- CDC,"Atlanta, GA",
245,Equifax,Statistical Consultant,"Atlanta, GA",
246,Emory University,Post Doctoral Fellow - Statistical Genetics/Genetic Epidemio...,"Atlanta, GA",
